accommodates,bathrooms,bed_type,bedrooms,beds,date_from,date_o,date_rom,date_to,has_availability,host_image,host_name,image,listing_url,location,name,price,property_type,room_type
2,1,Real Bed,1,1,20170422,,,20170416,TRUE,"https://a2.muscache.com/ac/users/26967583/profile_pic/1427823555/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Dario,https://a2.muscache.com/im/pictures/7051cc36-0ee9-4224-a1f1-9ca821764193.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8409975,,The Carousel Room w/Breakfast,49,House,Private room
3,1,Real Bed,1,2,20170430,,,20170412,TRUE,"https://a2.muscache.com/ac/users/26967583/profile_pic/1427823555/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Dario,https://a2.muscache.com/im/pictures/967a72bb-f85c-4fb8-b0b0-f4cc44a5fd1c.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8409926,,The Family Room w/ Private Bathroom,159,House,Private room
2,1,Real Bed,1,1,20170425,,,20170413,TRUE,"https://a2.muscache.com/ac/users/30129923/profile_pic/1429675502/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Stacie,https://a1.muscache.com/im/pictures/82148833/6a498eb0_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/6107518,,Lightrail to airport/downtown,100,House,Private room
4,1,Real Bed,1,2,20170410,,,20170417,TRUE,"https://a2.muscache.com/ac/pictures/85dee33e-5c29-4c59-8a82-7afb434a97fe.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Abigail & Justin,https://a2.muscache.com/im/pictures/6c0e71a1-6581-4407-a517-6d82d5e464dc.jpg?aki_policy=medium,https://www.airbnb.com/rooms/9797000,,"Lightrail, ethnic eateries, parks!",91,Apartment,Entire home/apt
12,3,Real Bed,4,6,20170403,,,20170418,TRUE,"https://a0.muscache.com/ac/users/27129222/profile_pic/1431623328/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Raijina,https://a0.muscache.com/im/pictures/67689551/b345bc3c_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/5242148,,Modern Rustic Home,203,House,Entire home/apt
2,1,Real Bed,1,1,20170417,,,20170507,TRUE,"https://a2.muscache.com/ac/users/73359/profile_pic/1403232345/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Mary,https://a2.muscache.com/im/pictures/45552954/147ed111_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/3372535,,Amazing  Value! The Serene Room!!,72,Bed & Breakfast,Private room
2,1,Real Bed,1,1,20170411,,,20170416,TRUE,"https://a1.muscache.com/ac/users/5468524/profile_pic/1363318370/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Tom,https://a1.muscache.com/im/pictures/15941653/410432d7_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/995443,,Columbia City Studio Apartment,146,Apartment,Entire home/apt
5,2.5,Real Bed,3,3,20170406,,,20170418,TRUE,"https://a0.muscache.com/ac/users/16577139/profile_pic/1402343347/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Richard,https://a0.muscache.com/im/pictures/41703753/7254daa5_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/3279728,,Stylish West Seattle 3BD,161,House,Entire home/apt
3,1,Real Bed,1,1,20170404,,,20170508,TRUE,"https://a2.muscache.com/ac/users/28830264/profile_pic/1426870034/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Tad,https://a2.muscache.com/im/pictures/107426596/a00e9964_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8446766,,Beautiful West Seattle Getaway,48,House,Private room
2,1,Real Bed,1,1,20170424,,,20170417,TRUE,"https://a2.muscache.com/ac/pictures/b66eddfd-614f-4c6e-9f6f-a2d88c5ef43e.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Rebecca,https://a2.muscache.com/im/pictures/29d74926-20a9-40a5-9b60-d66edb59b667.jpg?aki_policy=medium,https://www.airbnb.com/rooms/9733841,,"Private, Cozy, Convenient W Seattle",139,Bed & Breakfast,Private room
4,1,Real Bed,1,2,20170417,,,20170515,TRUE,"https://a0.muscache.com/ac/users/5934694/profile_pic/1427870118/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Hannah,https://a1.muscache.com/im/pictures/72899179/4caae8e7_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/5852034,, Maiden Mansion - Tiny House ,82,Bed & Breakfast,Entire home/apt
3,1,Real Bed,1,1,20170404,,,20170508,TRUE,"https://a2.muscache.com/ac/users/9671018/profile_pic/1382932988/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Georg,https://a2.muscache.com/im/pictures/25897050/418b6d3c_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/1851837,,Awesome cozy One Bedroom Apartment,239,House,Entire home/apt
4,1,Real Bed,0,1,20170328,,,20170402,TRUE,"https://a1.muscache.com/ac/users/4716190/profile_pic/1436899235/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Timothy,https://a2.muscache.com/im/pictures/93246693/45ac91db_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/7324041,,Stylish studio in West Seattle,87,House,Entire home/apt
2,1,Real Bed,1,1,20170408,,,20170607,TRUE,"https://a0.muscache.com/ac/users/16577139/profile_pic/1402343347/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Richard,https://a2.muscache.com/im/pictures/51604695/c103e62f_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/4105081,,Private Bedroom in W. Seattle Home,45,House,Private room
2,1,Real Bed,1,1,20170504,,,20170414,TRUE,"https://a2.muscache.com/ac/users/28830264/profile_pic/1426870034/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Tad,https://a1.muscache.com/im/pictures/107754366/a6ede127_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8474605,,"Cute, Clean West Seattle Bungalo",163,House,Private room
